Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,United States,3/4/2021 5:30,32.3182,-86.9023,497154,10029,295690,191435,1,10139.40938,4066498,,2.017282371,84000001,USA,82935.8468,
Alaska,United States,3/4/2021 5:30,61.3707,-152.4044,59035,303,,,2,8069.906841,1711018,,0.513254849,84000002,USA,233891.0115,
American Samoa,United States,3/4/2021 5:30,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,
Arizona,United States,3/4/2021 5:30,33.7298,-111.4312,819954,16089,,,4,11265.08971,7739361,,1.962183244,84000004,USA,52031.71108,
Arkansas,United States,3/4/2021 5:30,34.9697,-92.3731,323353,5261,313799,4293,5,10714.8443,2709946,,1.627014439,84000005,USA,89798.60852,
California,United States,3/4/2021 8:31,36.1162,-119.6816,3639466,52928,,,6,9212.346772,49028048,,1.449751552,84000006,USA,124083.2438,
Colorado,United States,3/4/2021 5:30,39.0598,-105.3111,431670,5970,,,8,7495.91577,6273669,,1.383000903,84000008,USA,108941.7712,
Connecticut,United States,3/4/2021 5:30,41.5978,-72.7554,283622,7678,,,9,7955.095901,6435635,,2.707124271,84000009,USA,180508.1891,
Delaware,United States,3/4/2021 5:30,39.3185,-75.5071,87425,1440,,,10,8978.048069,1409916,,1.647126108,84000010,USA,144790.3188,
Diamond Princess,United States,3/4/2021 5:30,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,United States,3/4/2021 5:30,38.8974,-77.0268,40818,1023,29213,10582,11,5783.642626,1233983,,2.506247244,84000011,USA,174847.2899,
Florida,United States,3/4/2021 5:30,27.7663,-81.6868,1924114,31267,,,12,8958.644014,23460496,,1.625007666,84000012,USA,109231.6942,
Georgia,United States,3/4/2021 5:30,33.0406,-83.6431,1014542,17625,,,13,9555.444857,7251427,,1.737237098,84000013,USA,68297.42961,
Grand Princess,United States,3/4/2021 5:30,,,103,3,,,99999,,,,2.912621359,84099999,USA,,
Guam,United States,3/4/2021 5:30,13.4443,144.7937,7745,131,7583,31,66,4715.975863,119670,,1.691413815,316,GUM,72867.76392,
Hawaii,United States,3/4/2021 5:30,21.0943,-157.4983,28424,441,,,15,2007.526104,1124866,,1.55150577,84000015,USA,79446.8709,
Idaho,United States,3/4/2021 5:30,44.2405,-114.4788,172288,1876,94936,75476,16,9640.835672,641917,,1.088874443,84000016,USA,35920.18197,
Illinois,United States,3/4/2021 5:30,40.3495,-88.9861,1191520,22853,,,17,9402.9106,18315522,,1.917970324,84000017,USA,144537.411,
Indiana,United States,3/4/2021 5:30,39.8494,-86.2583,663511,12633,,,18,9855.754841,8093057,,1.903962406,84000018,USA,120213.8106,
Iowa,United States,3/4/2021 5:30,42.0115,-93.2105,338041,5501,317731,14809,19,10714.21553,1318994,,1.627317396,84000019,USA,41805.53839,
Kansas,United States,3/4/2021 5:30,38.5266,-96.7265,297444,4810,,,20,10209.81604,1264760,,1.61711112,84000020,USA,43413.10274,
Kentucky,United States,3/4/2021 5:30,37.6681,-84.6701,407373,4704,47927,354742,21,9118.23672,3940366,,1.154715703,84000021,USA,88197.27854,
Louisiana,United States,3/4/2021 5:30,31.1695,-91.8678,431771,9668,415954,6149,22,9287.806687,5630195,,2.23914992,84000022,USA,121110.8731,
Maine,United States,3/4/2021 5:30,44.6939,-69.3819,45091,705,12820,31566,23,3354.455994,1663423,,1.563504912,84000023,USA,123747.0726,
Maryland,United States,3/4/2021 5:30,39.0639,-76.8021,383956,7919,9685,366352,24,6350.915034,7948627,,2.062475909,84000024,USA,131476.1449,
Massachusetts,United States,3/4/2021 5:30,42.2302,-71.5301,584743,13414,494740,73751,25,8483.754015,16419989,,2.779340668,84000025,USA,238229.6968,
Michigan,United States,3/4/2021 5:30,43.3266,-84.5361,650762,16550,541258,92954,26,6516.184221,10395435,,2.543172466,84000026,USA,104091.157,
Minnesota,United States,3/4/2021 5:30,45.6945,-93.9002,486434,6575,473252,6607,27,8625.279096,6960999,,1.351673608,84000027,USA,123430.0217,
Mississippi,United States,3/4/2021 5:30,32.7416,-89.6787,295675,6743,278162,10770,28,9934.818452,1755049,,2.280544517,84000028,USA,58970.46821,
Missouri,United States,3/4/2021 5:30,38.4561,-92.2884,564834,8482,,,29,9203.105926,4508176,,1.50168014,84000029,USA,73453.83115,
Montana,United States,3/4/2021 5:30,46.9219,-110.4544,100351,1373,97327,1651,30,9389.321262,1086657,,1.368197626,84000030,USA,101672.8451,
Nebraska,United States,3/4/2021 5:30,41.1254,-98.2681,201608,2091,155933,43584,31,10422.20669,2392401,,1.037161224,84000031,USA,123676.1324,
Nevada,United States,3/4/2021 5:30,38.3135,-117.0554,294684,4987,,,32,9567.177766,2738065,,1.692321266,84000032,USA,88893.71188,
New Hampshire,United States,3/4/2021 5:30,43.4525,-71.5639,75990,1175,72600,2215,33,5588.687596,1476788,,1.546256086,84000033,USA,108610.4327,
New Jersey,United States,3/4/2021 5:30,40.2989,-74.521,799476,23449,,,34,9000.888294,10895827,,2.933046145,84000034,USA,122670.5013,
New Mexico,United States,3/4/2021 5:30,34.8405,-106.2485,185898,3753,150168,31977,35,8865.67288,2720382,,2.018849046,84000035,USA,129737.9042,
New York,United States,3/4/2021 5:30,42.1657,-74.9481,1663248,47733,,,36,8549.838253,38627176,,2.869866671,84000036,USA,198560.9524,
North Carolina,United States,3/4/2021 5:30,35.6301,-79.8064,865554,11363,,,37,8252.737106,9561647,,1.312800819,84000037,USA,91166.76602,
North Dakota,United States,3/4/2021 5:30,47.5289,-99.784,99982,1478,98014,575,38,13131.08382,1416045,,1.477010403,84000038,USA,185817.5582,
Northern Mariana Islands,United States,3/4/2021 5:30,15.0979,145.6739,144,2,29,113,69,261.1344843,17573,,1.388888889,580,MNP,31867.47425,
Ohio,United States,3/4/2021 5:30,40.3888,-82.7649,972605,18784,916592,37231,39,8320.614932,10101222,,1.931102554,84000039,USA,86415.73774,
Oklahoma,United States,3/4/2021 5:30,35.5653,-96.9289,426821,4534,408963,13324,40,10786.55871,3542049,,1.062272006,84000040,USA,89514.1511,
Oregon,United States,3/4/2021 5:30,44.572,-122.0709,156287,2252,,,41,3705.470493,3760400,,1.440938786,84000041,USA,89156.81561,
Pennsylvania,United States,3/4/2021 5:30,40.5908,-77.2098,946543,24152,844569,77822,42,7393.718273,10514461,,2.551600931,84000042,USA,82131.4641,
Puerto Rico,United States,3/4/2021 5:30,18.2208,-66.5901,100765,2048,91338,7379,72,3155.123816,1719806,,2.032451744,630,PRI,53850.05577,
Rhode Island,United States,3/4/2021 5:30,41.6809,-71.5118,127285,2534,,,44,12015.26203,3041681,,1.990808029,84000044,USA,287124.1248,
South Carolina,United States,3/4/2021 5:30,33.8569,-80.945,519996,8620,230793,280583,45,10099.53165,5078144,,1.657705059,84000045,USA,98629.36648,
South Dakota,United States,3/4/2021 5:30,44.2998,-99.4388,112833,1893,108947,1993,46,12754.40593,424345,,1.677700673,84000046,USA,47967.0698,
Tennessee,United States,3/4/2021 5:30,35.7478,-86.6923,772276,11459,752966,8073,47,11311.73404,6817121,,1.483369536,84000047,USA,99823.50721,
Texas,United States,3/4/2021 5:30,31.0545,-97.5635,2710724,44463,2450229,216032,48,9348.651969,19707655,,1.640262897,84000048,USA,67967.0847,
Utah,United States,3/4/2021 5:30,40.15,-111.8624,372708,1955,355033,15720,49,11625.47981,2876176,,0.524539318,84000049,USA,89713.46474,
